arch,stage,position,symbol,component,bit,detected,corrected,location,category,exact_detected,exact_corrected,exact_match,threshold_match,syndrome_sy0r,syndrome_sy0i,syndrome_sy1r,syndrome_sy1i
S3,1,0,4,real,33,True,True,4,corrected,True,True,True,True,-8589934592,0,0,0
S3,1,0,4,real,34,True,True,4,corrected,True,True,True,True,17179869184,0,0,0
S3,1,0,4,imag,0,True,True,4,corrected,True,True,True,True,0,1,0,0
S3,1,0,4,imag,1,True,True,4,corrected,True,True,True,True,0,2,0,0
S3,1,0,4,imag,2,True,True,4,corrected,True,True,True,True,0,4,0,0
S3,1,0,4,imag,3,True,True,4,corrected,True,True,True,True,0,8,0,0
S3,1,0,4,imag,4,True,True,4,corrected,True,True,True,True,0,-16,0,0
S3,1,0,4,imag,5,True,True,4,corrected,True,True,True,True,0,32,0,0
S3,1,0,4,imag,6,True,True,4,corrected,True,True,True,True,0,64,0,0
S3,1,0,4,imag,7,True,True,4,corrected,True,True,True,True,0,128,0,0
S3,1,0,4,imag,8,True,True,4,corrected,True,True,True,True,0,-256,0,0
S3,1,0,4,imag,9,True,True,4,corrected,True,True,True,True,0,-512,0,0
S3,1,0,4,imag,10,True,True,4,corrected,True,True,True,True,0,1024,0,0
S3,1,0,4,imag,11,True,True,4,corrected,True,True,True,True,0,2048,0,0
S3,1,0,4,imag,12,True,True,4,corrected,True,True,True,True,0,-4096,0,0
S3,1,0,4,imag,13,True,True,4,corrected,True,True,True,True,0,-8192,0,0
S3,1,0,4,imag,14,True,True,4,corrected,True,True,True,True,0,-16384,0,0
S3,1,0,4,imag,15,True,True,4,corrected,True,True,True,True,0,32768,0,0
S3,1,0,4,imag,16,True,True,4,corrected,True,True,True,True,0,65536,0,0
S3,1,0,4,imag,17,True,True,4,corrected,True,True,True,True,0,-131072,0,0
S3,1,0,4,imag,18,True,True,4,corrected,True,True,True,True,0,262144,0,0
S3,1,0,4,imag,19,True,True,4,corrected,True,True,True,True,0,524288,0,0
S3,1,0,4,imag,20,True,True,4,corrected,True,True,True,True,0,-1048576,0,0
S3,1,0,4,imag,21,True,True,4,corrected,True,True,True,True,0,2097152,0,0
S3,1,0,4,imag,22,True,True,4,corrected,True,True,True,True,0,4194304,0,0
S3,1,0,4,imag,23,True,True,4,corrected,True,True,True,True,0,8388608,0,0
S3,1,0,4,imag,24,True,True,4,corrected,True,True,True,True,0,16777216,0,0
S3,1,0,4,imag,25,True,True,4,corrected,True,True,True,True,0,33554432,0,0
S3,1,0,4,imag,26,True,True,4,corrected,True,True,True,True,0,67108864,0,0
S3,1,0,4,imag,27,True,True,4,corrected,True,True,True,True,0,134217728,0,0
S3,1,0,4,imag,28,True,True,4,corrected,True,True,True,True,0,268435456,0,0
S3,1,0,4,imag,29,True,True,4,corrected,True,True,True,True,0,536870912,0,0
S3,1,0,4,imag,30,True,True,4,corrected,True,True,True,True,0,1073741824,0,0
S3,1,0,4,imag,31,True,True,4,corrected,True,True,True,True,0,2147483648,0,0
S3,1,0,4,imag,32,True,True,4,corrected,True,True,True,True,0,4294967296,0,0
S3,1,0,4,imag,33,True,True,4,corrected,True,True,True,True,0,8589934592,0,0
S3,1,0,4,imag,34,True,True,4,corrected,True,True,True,True,0,-17179869184,0,0
S3,1,0,5,real,0,True,True,5,corrected,True,True,True,True,0,0,-1,0
S3,1,0,5,real,1,True,True,5,corrected,True,True,True,True,0,0,2,0
S3,1,0,5,real,2,True,True,5,corrected,True,True,True,True,0,0,-4,0
S3,1,0,5,real,3,True,True,5,corrected,True,True,True,True,0,0,8,0
S3,1,0,5,real,4,True,True,5,corrected,True,True,True,True,0,0,-16,0
S3,1,0,5,real,5,True,True,5,corrected,True,True,True,True,0,0,32,0
S3,1,0,5,real,6,True,True,5,corrected,True,True,True,True,0,0,64,0
S3,1,0,5,real,7,True,True,5,corrected,True,True,True,True,0,0,128,0
S3,1,0,5,real,8,True,True,5,corrected,True,True,True,True,0,0,-256,0
S3,1,0,5,real,9,True,True,5,corrected,True,True,True,True,0,0,-512,0
S3,1,0,5,real,10,True,True,5,corrected,True,True,True,True,0,0,-1024,0
S3,1,0,5,real,11,True,True,5,corrected,True,True,True,True,0,0,-2048,0
S3,1,0,5,real,12,True,True,5,corrected,True,True,True,True,0,0,-4096,0
S3,1,0,5,real,13,True,True,5,corrected,True,True,True,True,0,0,8192,0
S3,1,0,5,real,14,True,True,5,corrected,True,True,True,True,0,0,16384,0
S3,1,0,5,real,15,True,True,5,corrected,True,True,True,True,0,0,-32768,0
S3,1,0,5,real,16,True,True,5,corrected,True,True,True,True,0,0,65536,0
S3,1,0,5,real,17,True,True,5,corrected,True,True,True,True,0,0,-131072,0
S3,1,0,5,real,18,True,True,5,corrected,True,True,True,True,0,0,-262144,0
S3,1,0,5,real,19,True,True,5,corrected,True,True,True,True,0,0,524288,0
S3,1,0,5,real,20,True,True,5,corrected,True,True,True,True,0,0,-1048576,0
S3,1,0,5,real,21,True,True,5,corrected,True,True,True,True,0,0,-2097152,0
S3,1,0,5,real,22,True,True,5,corrected,True,True,True,True,0,0,-4194304,0
S3,1,0,5,real,23,True,True,5,corrected,True,True,True,True,0,0,-8388608,0
S3,1,0,5,real,24,True,True,5,corrected,True,True,True,True,0,0,-16777216,0
S3,1,0,5,real,25,True,True,5,corrected,True,True,True,True,0,0,-33554432,0
S3,1,0,5,real,26,True,True,5,corrected,True,True,True,True,0,0,-67108864,0
S3,1,0,5,real,27,True,True,5,corrected,True,True,True,True,0,0,-134217728,0
S3,1,0,5,real,28,True,True,5,corrected,True,True,True,True,0,0,-268435456,0
S3,1,0,5,real,29,True,True,5,corrected,True,True,True,True,0,0,-536870912,0
S3,1,0,5,real,30,True,True,5,corrected,True,True,True,True,0,0,-1073741824,0
S3,1,0,5,real,31,True,True,5,corrected,True,True,True,True,0,0,-2147483648,0
S3,1,0,5,real,32,True,True,5,corrected,True,True,True,True,0,0,-4294967296,0
S3,1,0,5,real,33,True,True,5,corrected,True,True,True,True,0,0,-8589934592,0
S3,1,0,5,real,34,True,True,5,corrected,True,True,True,True,0,0,17179869184,0
S3,1,0,5,imag,0,True,True,5,corrected,True,True,True,True,0,0,0,1
S3,1,0,5,imag,1,True,True,5,corrected,True,True,True,True,0,0,0,-2
S3,1,0,5,imag,2,True,True,5,corrected,True,True,True,True,0,0,0,4
S3,1,0,5,imag,3,True,True,5,corrected,True,True,True,True,0,0,0,-8
S3,1,0,5,imag,4,True,True,5,corrected,True,True,True,True,0,0,0,-16
S3,1,0,5,imag,5,True,True,5,corrected,True,True,True,True,0,0,0,32
S3,1,0,5,imag,6,True,True,5,corrected,True,True,True,True,0,0,0,-64
S3,1,0,5,imag,7,True,True,5,corrected,True,True,True,True,0,0,0,128
S3,1,0,5,imag,8,True,True,5,corrected,True,True,True,True,0,0,0,-256
S3,1,0,5,imag,9,True,True,5,corrected,True,True,True,True,0,0,0,512
S3,1,0,5,imag,10,True,True,5,corrected,True,True,True,True,0,0,0,-1024
S3,1,0,5,imag,11,True,True,5,corrected,True,True,True,True,0,0,0,2048
S3,1,0,5,imag,12,True,True,5,corrected,True,True,True,True,0,0,0,4096
S3,1,0,5,imag,13,True,True,5,corrected,True,True,True,True,0,0,0,8192
S3,1,0,5,imag,14,True,True,5,corrected,True,True,True,True,0,0,0,16384
S3,1,0,5,imag,15,True,True,5,corrected,True,True,True,True,0,0,0,-32768
S3,1,0,5,imag,16,True,True,5,corrected,True,True,True,True,0,0,0,-65536
S3,1,0,5,imag,17,True,True,5,corrected,True,True,True,True,0,0,0,-131072
S3,1,0,5,imag,18,True,True,5,corrected,True,True,True,True,0,0,0,262144
S3,1,0,5,imag,19,True,True,5,corrected,True,True,True,True,0,0,0,524288
S3,1,0,5,imag,20,True,True,5,corrected,True,True,True,True,0,0,0,-1048576
S3,1,0,5,imag,21,True,True,5,corrected,True,True,True,True,0,0,0,2097152
S3,1,0,5,imag,22,True,True,5,corrected,True,True,True,True,0,0,0,4194304
S3,1,0,5,imag,23,True,True,5,corrected,True,True,True,True,0,0,0,8388608
S3,1,0,5,imag,24,True,True,5,corrected,True,True,True,True,0,0,0,16777216
S3,1,0,5,imag,25,True,True,5,corrected,True,True,True,True,0,0,0,33554432
S3,1,0,5,imag,26,True,True,5,corrected,True,True,True,True,0,0,0,67108864
S3,1,0,5,imag,27,True,True,5,corrected,True,True,True,True,0,0,0,134217728
S3,1,0,5,imag,28,True,True,5,corrected,True,True,True,True,0,0,0,268435456
S3,1,0,5,imag,29,True,True,5,corrected,True,True,True,True,0,0,0,536870912
S3,1,0,5,imag,30,True,True,5,corrected,True,True,True,True,0,0,0,1073741824
S3,1,0,5,imag,31,True,True,5,corrected,True,True,True,True,0,0,0,2147483648
S3,1,0,5,imag,32,True,True,5,corrected,True,True,True,True,0,0,0,4294967296
S3,1,0,5,imag,33,True,True,5,corrected,True,True,True,True,0,0,0,8589934592
S3,1,0,5,imag,34,True,True,5,corrected,True,True,True,True,0,0,0,-17179869184
S3,2,0,0,real,0,True,True,0,corrected,True,True,True,True,-1,0,-1,0
S3,2,0,0,real,1,True,True,0,corrected,True,True,True,True,2,0,2,0
S3,2,0,0,real,2,True,True,0,corrected,True,True,True,True,4,0,4,0
S3,2,0,0,real,3,True,True,0,corrected,True,True,True,True,-8,0,-8,0
S3,2,0,0,real,4,True,True,0,corrected,True,True,True,True,-16,0,-16,0
S3,2,0,0,real,5,True,True,0,corrected,True,True,True,True,-32,0,-32,0
S3,2,0,0,real,6,True,True,0,corrected,True,True,True,True,64,0,64,0
S3,2,0,0,real,7,True,True,0,corrected,True,True,True,True,-128,0,-128,0
S3,2,0,0,real,8,True,True,0,corrected,True,True,True,True,-256,0,-256,0
S3,2,0,0,real,9,True,True,0,corrected,True,True,True,True,512,0,512,0
S3,2,0,0,real,10,True,True,0,corrected,True,True,True,True,-1024,0,-1024,0
S3,2,0,0,real,11,True,True,0,corrected,True,True,True,True,2048,0,2048,0
S3,2,0,0,real,12,True,True,0,corrected,True,True,True,True,-4096,0,-4096,0
S3,2,0,0,real,13,True,True,0,corrected,True,True,True,True,-8192,0,-8192,0
S3,2,0,0,real,14,True,True,0,corrected,True,True,True,True,16384,0,16384,0
S3,2,0,0,real,15,True,True,0,corrected,True,True,True,True,-32768,0,-32768,0
S3,2,0,0,real,16,True,True,0,corrected,True,True,True,True,65536,0,65536,0
S3,2,0,0,real,17,True,True,0,corrected,True,True,True,True,-131072,0,-131072,0
S3,2,0,0,real,18,True,True,0,corrected,True,True,True,True,-262144,0,-262144,0
S3,2,0,0,real,19,True,True,0,corrected,True,True,True,True,-524288,0,-524288,0
S3,2,0,0,real,20,True,True,0,corrected,True,True,True,True,-1048576,0,-1048576,0
S3,2,0,0,real,21,True,True,0,corrected,True,True,True,True,-2097152,0,-2097152,0
S3,2,0,0,real,22,True,True,0,corrected,True,True,True,True,-4194304,0,-4194304,0
S3,2,0,0,real,23,True,True,0,corrected,True,True,True,True,-8388608,0,-8388608,0
S3,2,0,0,real,24,True,True,0,corrected,True,True,True,True,-16777216,0,-16777216,0
S3,2,0,0,real,25,True,True,0,corrected,True,True,True,True,-33554432,0,-33554432,0
S3,2,0,0,real,26,True,True,0,corrected,True,True,True,True,-67108864,0,-67108864,0
S3,2,0,0,real,27,True,True,0,corrected,True,True,True,True,-134217728,0,-134217728,0
S3,2,0,0,real,28,True,True,0,corrected,True,True,True,True,-268435456,0,-268435456,0
S3,2,0,0,real,29,True,True,0,corrected,True,True,True,True,-536870912,0,-536870912,0
S3,2,0,0,real,30,True,True,0,corrected,True,True,True,True,-1073741824,0,-1073741824,0
S3,2,0,0,real,31,True,True,0,corrected,True,True,True,True,-2147483648,0,-2147483648,0
S3,2,0,0,real,32,True,True,0,corrected,True,True,True,True,-4294967296,0,-4294967296,0
S3,2,0,0,real,33,True,True,0,corrected,True,True,True,True,-8589934592,0,-8589934592,0
S3,2,0,0,real,34,True,True,0,corrected,True,True,True,True,17179869184,0,17179869184,0
S3,2,0,0,imag,0,True,True,0,corrected,True,True,True,True,0,-1,0,-1
S3,2,0,0,imag,1,True,True,0,corrected,True,True,True,True,0,-2,0,-2
S3,2,0,0,imag,2,True,True,0,corrected,True,True,True,True,0,-4,0,-4
S3,2,0,0,imag,3,True,True,0,corrected,True,True,True,True,0,-8,0,-8
S3,2,0,0,imag,4,True,True,0,corrected,True,True,True,True,0,-16,0,-16
S3,2,0,0,imag,5,True,True,0,corrected,True,True,True,True,0,-32,0,-32
S3,2,0,0,imag,6,True,True,0,corrected,True,True,True,True,0,64,0,64
S3,2,0,0,imag,7,True,True,0,corrected,True,True,True,True,0,-128,0,-128
S3,2,0,0,imag,8,True,True,0,corrected,True,True,True,True,0,-256,0,-256
S3,2,0,0,imag,9,True,True,0,corrected,True,True,True,True,0,512,0,512
S3,2,0,0,imag,10,True,True,0,corrected,True,True,True,True,0,1024,0,1024
S3,2,0,0,imag,11,True,True,0,corrected,True,True,True,True,0,2048,0,2048
S3,2,0,0,imag,12,True,True,0,corrected,True,True,True,True,0,-4096,0,-4096
S3,2,0,0,imag,13,True,True,0,corrected,True,True,True,True,0,8192,0,8192
S3,2,0,0,imag,14,True,True,0,corrected,True,True,True,True,0,-16384,0,-16384
S3,2,0,0,imag,15,True,True,0,corrected,True,True,True,True,0,-32768,0,-32768
S3,2,0,0,imag,16,True,True,0,corrected,True,True,True,True,0,-65536,0,-65536
S3,2,0,0,imag,17,True,True,0,corrected,True,True,True,True,0,131072,0,131072
S3,2,0,0,imag,18,True,True,0,corrected,True,True,True,True,0,-262144,0,-262144
S3,2,0,0,imag,19,True,True,0,corrected,True,True,True,True,0,-524288,0,-524288
S3,2,0,0,imag,20,True,True,0,corrected,True,True,True,True,0,-1048576,0,-1048576
S3,2,0,0,imag,21,True,True,0,corrected,True,True,True,True,0,-2097152,0,-2097152
S3,2,0,0,imag,22,True,True,0,corrected,True,True,True,True,0,-4194304,0,-4194304
S3,2,0,0,imag,23,True,True,0,corrected,True,True,True,True,0,-8388608,0,-8388608
S3,2,0,0,imag,24,True,True,0,corrected,True,True,True,True,0,-16777216,0,-16777216
S3,2,0,0,imag,25,True,True,0,corrected,True,True,True,True,0,-33554432,0,-33554432
S3,2,0,0,imag,26,True,True,0,corrected,True,True,True,True,0,-67108864,0,-67108864
S3,2,0,0,imag,27,True,True,0,corrected,True,True,True,True,0,-134217728,0,-134217728
S3,2,0,0,imag,28,True,True,0,corrected,True,True,True,True,0,-268435456,0,-268435456
S3,2,0,0,imag,29,True,True,0,corrected,True,True,True,True,0,-536870912,0,-536870912
S3,2,0,0,imag,30,True,True,0,corrected,True,True,True,True,0,-1073741824,0,-1073741824
S3,2,0,0,imag,31,True,True,0,corrected,True,True,True,True,0,-2147483648,0,-2147483648
S3,2,0,0,imag,32,True,True,0,corrected,True,True,True,True,0,-4294967296,0,-4294967296
S3,2,0,0,imag,33,True,True,0,corrected,True,True,True,True,0,-8589934592,0,-8589934592
S3,2,0,0,imag,34,True,True,0,corrected,True,True,True,True,0,17179869184,0,17179869184
S3,2,0,1,real,0,True,True,1,corrected,True,True,True,True,-1,0,0,-1
S3,2,0,1,real,1,True,True,1,corrected,True,True,True,True,-2,0,0,-2
S3,2,0,1,real,2,True,True,1,corrected,True,True,True,True,-4,0,0,-4
S3,2,0,1,real,3,True,True,1,corrected,True,True,True,True,8,0,0,8
S3,2,0,1,real,4,True,True,1,corrected,True,True,True,True,-16,0,0,-16
S3,2,0,1,real,5,True,True,1,corrected,True,True,True,True,32,0,0,32
S3,2,0,1,real,6,True,True,1,corrected,True,True,True,True,-64,0,0,-64
S3,2,0,1,real,7,True,True,1,corrected,True,True,True,True,-128,0,0,-128
S3,2,0,1,real,8,True,True,1,corrected,True,True,True,True,-256,0,0,-256
S3,2,0,1,real,9,True,True,1,corrected,True,True,True,True,-512,0,0,-512
S3,2,0,1,real,10,True,True,1,corrected,True,True,True,True,1024,0,0,1024
S3,2,0,1,real,11,True,True,1,corrected,True,True,True,True,2048,0,0,2048
S3,2,0,1,real,12,True,True,1,corrected,True,True,True,True,-4096,0,0,-4096
S3,2,0,1,real,13,True,True,1,corrected,True,True,True,True,-8192,0,0,-8192
S3,2,0,1,real,14,True,True,1,corrected,True,True,True,True,-16384,0,0,-16384
S3,2,0,1,real,15,True,True,1,corrected,True,True,True,True,32768,0,0,32768
S3,2,0,1,real,16,True,True,1,corrected,True,True,True,True,65536,0,0,65536
S3,2,0,1,real,17,True,True,1,corrected,True,True,True,True,-131072,0,0,-131072
S3,2,0,1,real,18,True,True,1,corrected,True,True,True,True,262144,0,0,262144
S3,2,0,1,real,19,True,True,1,corrected,True,True,True,True,524288,0,0,524288
S3,2,0,1,real,20,True,True,1,corrected,True,True,True,True,1048576,0,0,1048576
S3,2,0,1,real,21,True,True,1,corrected,True,True,True,True,2097152,0,0,2097152
S3,2,0,1,real,22,True,True,1,corrected,True,True,True,True,4194304,0,0,4194304
S3,2,0,1,real,23,True,True,1,corrected,True,True,True,True,8388608,0,0,8388608
S3,2,0,1,real,24,True,True,1,corrected,True,True,True,True,16777216,0,0,16777216
S3,2,0,1,real,25,True,True,1,corrected,True,True,True,True,33554432,0,0,33554432
S3,2,0,1,real,26,True,True,1,corrected,True,True,True,True,67108864,0,0,67108864
S3,2,0,1,real,27,True,True,1,corrected,True,True,True,True,134217728,0,0,134217728
S3,2,0,1,real,28,True,True,1,corrected,True,True,True,True,268435456,0,0,268435456
S3,2,0,1,real,29,True,True,1,corrected,True,True,True,True,536870912,0,0,536870912
S3,2,0,1,real,30,True,True,1,corrected,True,True,True,True,1073741824,0,0,1073741824
S3,2,0,1,real,31,True,True,1,corrected,True,True,True,True,2147483648,0,0,2147483648
S3,2,0,1,real,32,True,True,1,corrected,True,True,True,True,4294967296,0,0,4294967296
S3,2,0,1,real,33,True,True,1,corrected,True,True,True,True,8589934592,0,0,8589934592
S3,2,0,1,real,34,True,True,1,corrected,True,True,True,True,-17179869184,0,0,-17179869184
S3,2,0,1,imag,0,True,True,1,corrected,True,True,True,True,0,1,-1,0
S3,2,0,1,imag,1,True,True,1,corrected,True,True,True,True,0,-2,2,0
S3,2,0,1,imag,2,True,True,1,corrected,True,True,True,True,0,-4,4,0
S3,2,0,1,imag,3,True,True,1,corrected,True,True,True,True,0,8,-8,0
S3,2,0,1,imag,4,True,True,1,corrected,True,True,True,True,0,16,-16,0
S3,2,0,1,imag,5,True,True,1,corrected,True,True,True,True,0,32,-32,0
S3,2,0,1,imag,6,True,True,1,corrected,True,True,True,True,0,64,-64,0
S3,2,0,1,imag,7,True,True,1,corrected,True,True,True,True,0,-128,128,0
S3,2,0,1,imag,8,True,True,1,corrected,True,True,True,True,0,256,-256,0
S3,2,0,1,imag,9,True,True,1,corrected,True,True,True,True,0,-512,512,0
S3,2,0,1,imag,10,True,True,1,corrected,True,True,True,True,0,-1024,1024,0
S3,2,0,1,imag,11,True,True,1,corrected,True,True,True,True,0,-2048,2048,0
S3,2,0,1,imag,12,True,True,1,corrected,True,True,True,True,0,-4096,4096,0
S3,2,0,1,imag,13,True,True,1,corrected,True,True,True,True,0,8192,-8192,0
S3,2,0,1,imag,14,True,True,1,corrected,True,True,True,True,0,16384,-16384,0
S3,2,0,1,imag,15,True,True,1,corrected,True,True,True,True,0,32768,-32768,0
S3,2,0,1,imag,16,True,True,1,corrected,True,True,True,True,0,-65536,65536,0
S3,2,0,1,imag,17,True,True,1,corrected,True,True,True,True,0,-131072,131072,0
S3,2,0,1,imag,18,True,True,1,corrected,True,True,True,True,0,-262144,262144,0
S3,2,0,1,imag,19,True,True,1,corrected,True,True,True,True,0,-524288,524288,0
S3,2,0,1,imag,20,True,True,1,corrected,True,True,True,True,0,-1048576,1048576,0
S3,2,0,1,imag,21,True,True,1,corrected,True,True,True,True,0,-2097152,2097152,0
S3,2,0,1,imag,22,True,True,1,corrected,True,True,True,True,0,-4194304,4194304,0
S3,2,0,1,imag,23,True,True,1,corrected,True,True,True,True,0,-8388608,8388608,0
S3,2,0,1,imag,24,True,True,1,corrected,True,True,True,True,0,-16777216,16777216,0
S3,2,0,1,imag,25,True,True,1,corrected,True,True,True,True,0,-33554432,33554432,0
S3,2,0,1,imag,26,True,True,1,corrected,True,True,True,True,0,-67108864,67108864,0
S3,2,0,1,imag,27,True,True,1,corrected,True,True,True,True,0,-134217728,134217728,0
S3,2,0,1,imag,28,True,True,1,corrected,True,True,True,True,0,-268435456,268435456,0
S3,2,0,1,imag,29,True,True,1,corrected,True,True,True,True,0,-536870912,536870912,0
S3,2,0,1,imag,30,True,True,1,corrected,True,True,True,True,0,-1073741824,1073741824,0
S3,2,0,1,imag,31,True,True,1,corrected,True,True,True,True,0,-2147483648,2147483648,0
S3,2,0,1,imag,32,True,True,1,corrected,True,True,True,True,0,-4294967296,4294967296,0
S3,2,0,1,imag,33,True,True,1,corrected,True,True,True,True,0,-8589934592,8589934592,0
S3,2,0,1,imag,34,True,True,1,corrected,True,True,True,True,0,17179869184,-17179869184,0
S3,2,0,2,real,0,True,True,2,corrected,True,True,True,True,1,0,-1,0
S3,2,0,2,real,1,True,True,2,corrected,True,True,True,True,2,0,-2,0
S3,2,0,2,real,2,True,True,2,corrected,True,True,True,True,4,0,-4,0
S3,2,0,2,real,3,True,True,2,corrected,True,True,True,True,-8,0,8,0
S3,2,0,2,real,4,True,True,2,corrected,True,True,True,True,-16,0,16,0
S3,2,0,2,real,5,True,True,2,corrected,True,True,True,True,32,0,-32,0
S3,2,0,2,real,6,True,True,2,corrected,True,True,True,True,64,0,-64,0
S3,2,0,2,real,7,True,True,2,corrected,True,True,True,True,-128,0,128,0
S3,2,0,2,real,8,True,True,2,corrected,True,True,True,True,-256,0,256,0
S3,2,0,2,real,9,True,True,2,corrected,True,True,True,True,-512,0,512,0
S3,2,0,2,real,10,True,True,2,corrected,True,True,True,True,1024,0,-1024,0
S3,2,0,2,real,11,True,True,2,corrected,True,True,True,True,-2048,0,2048,0
S3,2,0,2,real,12,True,True,2,corrected,True,True,True,True,-4096,0,4096,0
S3,2,0,2,real,13,True,True,2,corrected,True,True,True,True,8192,0,-8192,0
S3,2,0,2,real,14,True,True,2,corrected,True,True,True,True,16384,0,-16384,0
S3,2,0,2,real,15,True,True,2,corrected,True,True,True,True,32768,0,-32768,0
S3,2,0,2,real,16,True,True,2,corrected,True,True,True,True,-65536,0,65536,0
S3,2,0,2,real,17,True,True,2,corrected,True,True,True,True,-131072,0,131072,0
S3,2,0,2,real,18,True,True,2,corrected,True,True,True,True,262144,0,-262144,0
S3,2,0,2,real,19,True,True,2,corrected,True,True,True,True,524288,0,-524288,0
S3,2,0,2,real,20,True,True,2,corrected,True,True,True,True,1048576,0,-1048576,0
S3,2,0,2,real,21,True,True,2,corrected,True,True,True,True,2097152,0,-2097152,0
S3,2,0,2,real,22,True,True,2,corrected,True,True,True,True,4194304,0,-4194304,0
S3,2,0,2,real,23,True,True,2,corrected,True,True,True,True,8388608,0,-8388608,0
S3,2,0,2,real,24,True,True,2,corrected,True,True,True,True,16777216,0,-16777216,0
S3,2,0,2,real,25,True,True,2,corrected,True,True,True,True,33554432,0,-33554432,0
S3,2,0,2,real,26,True,True,2,corrected,True,True,True,True,67108864,0,-67108864,0
S3,2,0,2,real,27,True,True,2,corrected,True,True,True,True,134217728,0,-134217728,0
S3,2,0,2,real,28,True,True,2,corrected,True,True,True,True,268435456,0,-268435456,0
S3,2,0,2,real,29,True,True,2,corrected,True,True,True,True,536870912,0,-536870912,0
S3,2,0,2,real,30,True,True,2,corrected,True,True,True,True,1073741824,0,-1073741824,0
